period,programme,scheme,scheme_description,basis,UGI,county_code,county,recipients
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,DN,Dublin,13898
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,GY,Galway,3373
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,GY,Galway,119
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,GY,Galway,4854
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,GY,Galway,6215
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,GY,Galway,1936
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,KE,Kildare,1974
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,KE,Kildare,80
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,KE,Kildare,4730
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,KE,Kildare,3642
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,KE,Kildare,2206
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,KK,Kilkenny,1260
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,KK,Kilkenny,30
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,KK,Kilkenny,1826
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,KK,Kilkenny,2237
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,KK,Kilkenny,976
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,KY,Kerry,2385
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,KY,Kerry,76
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,KY,Kerry,2839
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,KY,Kerry,4206
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,KY,Kerry,1498
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,LD,Longford,806
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,LD,Longford,21
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,LD,Longford,904
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,LD,Longford,1229
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,LD,Longford,603
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,LH,Louth,1580
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,LH,Louth,34
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,LH,Louth,3525
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,LH,Louth,2874
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,LH,Louth,1783
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,LK,Limerick,3043
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,LK,Limerick,63
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,LK,Limerick,4730
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,LK,Limerick,5531
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,LK,Limerick,3131
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,LM,Leitrim,555
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,LM,Leitrim,20
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,LM,Leitrim,841
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,LM,Leitrim,795
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,LM,Leitrim,451
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,LS,Laois,1079
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,LS,Laois,37
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,LS,Laois,1881
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,LS,Laois,1942
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,LS,Laois,945
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,MH,Meath,1753
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,MH,Meath,76
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,MH,Meath,4572
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,MH,Meath,2839
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,MH,Meath,1682
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,MN,Monaghan,847
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,MN,Monaghan,18
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,MN,Monaghan,1291
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,MN,Monaghan,1285
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,MN,Monaghan,561
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,MO,Mayo,2441
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,MO,Mayo,65
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,MO,Mayo,2885
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,MO,Mayo,3606
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,MO,Mayo,1376
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,OY,Offaly,1275
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,OY,Offaly,22
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,OY,Offaly,1800
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,OY,Offaly,1849
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,OY,Offaly,1106
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,RN,Roscommon,1072
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,RN,Roscommon,51
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,RN,Roscommon,1487
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,RN,Roscommon,1638
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,RN,Roscommon,808
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,SO,Sligo,996
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,SO,Sligo,43
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,SO,Sligo,1620
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,SO,Sligo,1868
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,SO,Sligo,820
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,TY,Tipperary,2750
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,TY,Tipperary,56
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,TY,Tipperary,3394
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,TY,Tipperary,4899
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,TY,Tipperary,2101
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,WD,Waterford,1513
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,WD,Waterford,31
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,WD,Waterford,2564
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,WD,Waterford,2784
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,WD,Waterford,1549
